episode,reward_type,total_reward,dirt_collected,epsilon
167,dense_progress,562.0,88,0.198
168,dense_progress,308.0,72,0.1932
169,dense_progress,470.0,83,0.1884
170,dense_progress,302.0,68,0.1837
171,dense_progress,504.0,85,0.1789
172,dense_progress,280.0,73,0.1741
173,dense_progress,-78.0,37,0.1693
174,dense_progress,140.0,58,0.1646
175,dense_progress,464.0,85,0.1598
176,dense_progress,352.0,73,0.155
177,dense_progress,-122.0,33,0.1503
178,dense_progress,470.0,85,0.1455
179,dense_progress,264.0,71,0.1407
180,dense_progress,230.0,47,0.1359
181,dense_progress,572.0,95,0.1312
182,dense_progress,614.0,82,0.1264
183,dense_progress,444.0,78,0.1216
184,dense_progress,564.0,68,0.1168
185,dense_progress,388.0,76,0.1121
186,dense_progress,530.0,83,0.1073
187,dense_progress,400.0,85,0.1025
188,dense_progress,320.0,77,0.0977
189,dense_progress,622.0,95,0.093
190,dense_progress,388.0,78,0.0882
191,dense_progress,624.0,83,0.0834
192,dense_progress,200.0,59,0.0786
193,dense_progress,592.0,101,0.0739
194,dense_progress,62.0,44,0.0691
195,dense_progress,440.0,80,0.0643
196,dense_progress,536.0,78,0.0595
197,dense_progress,734.0,112,0.0548
198,dense_progress,380.0,81,0.05
199,dense_progress,854.0,107,0.05
