episode,reward_type,total_reward,dirt_collected,epsilon
85,baseline,120.0,57,0.5894
86,baseline,190.0,64,0.5847
87,baseline,310.0,76,0.5799
88,baseline,240.0,69,0.5751
89,baseline,290.0,74,0.5704
90,baseline,330.0,78,0.5656
91,baseline,230.0,68,0.5608
92,baseline,370.0,82,0.556
93,baseline,330.0,78,0.5513
94,baseline,180.0,63,0.5465
95,baseline,190.0,64,0.5417
96,baseline,-10.0,44,0.5369
97,baseline,180.0,63,0.5322
98,baseline,140.0,59,0.5274
99,baseline,20.0,47,0.5226
100,baseline,170.0,62,0.5178
101,baseline,250.0,70,0.5131
102,baseline,470.0,92,0.5083
103,baseline,400.0,85,0.5035
104,baseline,150.0,60,0.4987
105,baseline,230.0,68,0.494
106,baseline,330.0,78,0.4892
107,baseline,530.0,98,0.4844
108,baseline,40.0,51,0.4796
109,baseline,240.0,69,0.4749
110,baseline,380.0,83,0.4701
111,baseline,400.0,85,0.4653
112,baseline,510.0,96,0.4606
113,baseline,410.0,86,0.4558
114,baseline,100.0,55,0.451
115,baseline,80.0,53,0.4462
116,baseline,160.0,61,0.4415
117,baseline,170.0,62,0.4367
118,baseline,130.0,58,0.4319
119,baseline,110.0,56,0.4271
120,baseline,320.0,77,0.4224
121,baseline,170.0,62,0.4176
122,baseline,310.0,76,0.4128
123,baseline,500.0,95,0.408
124,baseline,180.0,65,0.4033
125,baseline,150.0,60,0.3985
126,baseline,70.0,52,0.3937
127,baseline,380.0,83,0.3889
128,baseline,210.0,66,0.3842
129,baseline,220.0,67,0.3794
130,baseline,370.0,82,0.3746
131,baseline,130.0,58,0.3698
132,baseline,270.0,76,0.3651
133,baseline,320.0,77,0.3603
134,baseline,290.0,74,0.3555
135,baseline,340.0,79,0.3508
136,baseline,220.0,67,0.346
137,baseline,190.0,64,0.3412
138,baseline,520.0,97,0.3364
139,baseline,250.0,70,0.3317
140,baseline,260.0,71,0.3269
141,baseline,230.0,68,0.3221
142,baseline,370.0,82,0.3173
143,baseline,300.0,75,0.3126
144,baseline,380.0,83,0.3078
145,baseline,410.0,86,0.303
146,baseline,370.0,82,0.2982
147,baseline,450.0,90,0.2935
148,baseline,60.0,51,0.2887
149,baseline,270.0,72,0.2839
150,baseline,200.0,65,0.2791
151,baseline,240.0,69,0.2744
152,baseline,250.0,70,0.2696
153,baseline,260.0,71,0.2648
154,baseline,300.0,75,0.2601
155,baseline,350.0,80,0.2553
156,baseline,80.0,53,0.2505
157,baseline,270.0,72,0.2457
158,baseline,290.0,74,0.241
159,baseline,180.0,63,0.2362
160,baseline,230.0,68,0.2314
161,baseline,310.0,76,0.2266
162,baseline,320.0,77,0.2219
163,baseline,380.0,83,0.2171
164,baseline,260.0,71,0.2123
165,baseline,150.0,60,0.2075
166,baseline,230.0,68,0.2028
167,baseline,240.0,69,0.198
168,baseline,220.0,67,0.1932
169,baseline,290.0,74,0.1884
170,baseline,260.0,71,0.1837
171,baseline,400.0,85,0.1789
172,baseline,90.0,54,0.1741
173,baseline,390.0,84,0.1693
174,baseline,400.0,85,0.1646
175,baseline,440.0,89,0.1598
176,baseline,180.0,63,0.155
177,baseline,490.0,94,0.1503
178,baseline,210.0,66,0.1455
179,baseline,240.0,69,0.1407
180,baseline,250.0,70,0.1359
181,baseline,400.0,85,0.1312
182,baseline,610.0,106,0.1264
183,baseline,200.0,65,0.1216
184,baseline,420.0,87,0.1168
185,baseline,220.0,67,0.1121
186,baseline,480.0,93,0.1073
187,baseline,520.0,97,0.1025
188,baseline,340.0,79,0.0977
189,baseline,200.0,65,0.093
190,baseline,560.0,101,0.0882
191,baseline,350.0,80,0.0834
192,baseline,340.0,79,0.0786
193,baseline,680.0,113,0.0739
194,baseline,580.0,103,0.0691
195,baseline,480.0,93,0.0643
196,baseline,580.0,103,0.0595
197,baseline,340.0,79,0.0548
198,baseline,360.0,81,0.05
199,baseline,470.0,92,0.05
0,heavy_safety,-2035.0,47,0.9952
1,heavy_safety,-2165.0,71,0.9905
2,heavy_safety,-3240.0,45,0.9857
3,heavy_safety,-1810.0,50,0.9809
4,heavy_safety,-3255.0,68,0.9761
5,heavy_safety,-1470.0,47,0.9714
6,heavy_safety,-2565.0,65,0.9666
7,heavy_safety,-2730.0,57,0.9618
8,heavy_safety,-1680.0,72,0.957
9,heavy_safety,-1895.0,55,0.9523
10,heavy_safety,-4275.0,75,0.9475
11,heavy_safety,-3550.0,54,0.9427
12,heavy_safety,-2750.0,72,0.9379
13,heavy_safety,-1470.0,72,0.9332
