brain_type,seed,frames,noise_sigma,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
qlearning,8,1500,0.0,71,0.047333,0,1
qlearning,9,1500,0.0,86,0.057333,1,0
qlearning,0,1500,0.1,78,0.052,0,0
qlearning,1,1500,0.1,88,0.058667,2,0
qlearning,2,1500,0.1,74,0.049333,1,0
qlearning,3,1500,0.1,102,0.068,0,0
qlearning,4,1500,0.1,81,0.054,1,0
qlearning,5,1500,0.1,92,0.061333,0,0
qlearning,6,1500,0.1,84,0.056,0,0
qlearning,7,1500,0.1,93,0.062,0,0
qlearning,8,1500,0.1,86,0.057333,3,0
qlearning,9,1500,0.1,85,0.056667,0,0
qlearning,0,1500,0.2,66,0.044,2,0
qlearning,1,1500,0.2,88,0.058667,0,0
qlearning,2,1500,0.2,87,0.058,0,0
qlearning,3,1500,0.2,96,0.064,1,0
qlearning,4,1500,0.2,64,0.042667,1,0
qlearning,5,1500,0.2,95,0.063333,0,0
qlearning,6,1500,0.2,116,0.077333,1,0
qlearning,7,1500,0.2,91,0.060667,0,0
qlearning,8,1500,0.2,58,0.038667,1,0
qlearning,9,1500,0.2,81,0.054,0,0
qlearning,0,1500,0.3,68,0.045333,2,0
qlearning,1,1500,0.3,74,0.049333,3,0
qlearning,2,1500,0.3,95,0.063333,1,0
qlearning,3,1500,0.3,99,0.066,2,0
qlearning,4,1500,0.3,87,0.058,1,0
qlearning,5,1500,0.3,89,0.059333,0,0
qlearning,6,1500,0.3,86,0.057333,2,0
qlearning,7,1500,0.3,89,0.059333,0,0
qlearning,8,1500,0.3,61,0.040667,2,0
qlearning,9,1500,0.3,84,0.056,1,0
qlearning,0,1500,0.5,72,0.048,0,0
qlearning,1,1500,0.5,59,0.039333,5,0
qlearning,2,1500,0.5,92,0.061333,3,0
qlearning,3,1500,0.5,95,0.063333,2,0
qlearning,4,1500,0.5,68,0.045333,3,0
qlearning,5,1500,0.5,77,0.051333,0,0
qlearning,6,1500,0.5,118,0.078667,1,0
qlearning,7,1500,0.5,92,0.061333,2,0
qlearning,8,1500,0.5,74,0.049333,3,0
qlearning,9,1500,0.5,89,0.059333,3,0
qlearning,0,1500,1.0,63,0.042,13,0
qlearning,1,1500,1.0,89,0.059333,6,0
qlearning,2,1500,1.0,100,0.066667,12,0
qlearning,3,1500,1.0,81,0.054,9,0
qlearning,4,1500,1.0,61,0.040667,5,0
qlearning,5,1500,1.0,81,0.054,6,0
qlearning,6,1500,1.0,108,0.072,17,0
qlearning,7,1500,1.0,71,0.047333,10,0
qlearning,8,1500,1.0,64,0.042667,19,0
qlearning,9,1500,1.0,59,0.039333,11,0
