episode,reward_type,total_reward,dirt_collected,epsilon
145,heavy_safety,-1325.0,49,0.303
146,heavy_safety,-3425.0,70,0.2982
147,heavy_safety,-2335.0,77,0.2935
148,heavy_safety,-1610.0,68,0.2887
149,heavy_safety,-2150.0,63,0.2839
150,heavy_safety,-2655.0,87,0.2791
151,heavy_safety,-2025.0,79,0.2744
152,heavy_safety,-805.0,91,0.2696
153,heavy_safety,-760.0,84,0.2648
154,heavy_safety,-2510.0,88,0.2601
155,heavy_safety,-4435.0,83,0.2553
156,heavy_safety,-3755.0,78,0.2505
157,heavy_safety,-1790.0,79,0.2457
158,heavy_safety,-2520.0,100,0.241
159,heavy_safety,-2505.0,67,0.2362
160,heavy_safety,-2680.0,55,0.2314
161,heavy_safety,-2290.0,72,0.2266
162,heavy_safety,-2605.0,65,0.2219
163,heavy_safety,-1415.0,86,0.2171
164,heavy_safety,-2795.0,85,0.2123
165,heavy_safety,-2955.0,74,0.2075
166,heavy_safety,-1885.0,103,0.2028
167,heavy_safety,-1400.0,101,0.198
168,heavy_safety,-1445.0,103,0.1932
169,heavy_safety,-4470.0,69,0.1884
170,heavy_safety,-1645.0,73,0.1837
171,heavy_safety,-2190.0,80,0.1789
172,heavy_safety,-4180.0,101,0.1741
173,heavy_safety,-1935.0,83,0.1693
174,heavy_safety,-2600.0,69,0.1646
175,heavy_safety,-2030.0,79,0.1598
176,heavy_safety,-4180.0,42,0.155
177,heavy_safety,-1980.0,62,0.1503
178,heavy_safety,-1710.0,81,0.1455
179,heavy_safety,-3045.0,84,0.1407
180,heavy_safety,-3130.0,78,0.1359
181,heavy_safety,-3330.0,98,0.1312
182,heavy_safety,-2990.0,93,0.1264
183,heavy_safety,-1660.0,98,0.1216
184,heavy_safety,-1555.0,89,0.1168
185,heavy_safety,-1880.0,67,0.1121
186,heavy_safety,-2895.0,75,0.1073
187,heavy_safety,-2585.0,89,0.1025
188,heavy_safety,-3610.0,68,0.0977
189,heavy_safety,-2520.0,94,0.093
190,heavy_safety,-3625.0,40,0.0882
191,heavy_safety,-3585.0,82,0.0834
192,heavy_safety,-1960.0,90,0.0786
193,heavy_safety,-3700.0,75,0.0739
194,heavy_safety,-3515.0,74,0.0691
195,heavy_safety,-1785.0,80,0.0643
196,heavy_safety,-1900.0,90,0.0595
197,heavy_safety,-2215.0,65,0.0548
198,heavy_safety,-4405.0,101,0.05
199,heavy_safety,-1330.0,79,0.05
