episode,reward_type,total_reward,dirt_collected,epsilon
187,baseline,120.0,61,0.1025
188,baseline,400.0,85,0.0977
189,baseline,60.0,53,0.093
190,baseline,290.0,74,0.0882
191,baseline,330.0,78,0.0834
192,baseline,470.0,92,0.0786
193,baseline,330.0,78,0.0739
194,baseline,370.0,82,0.0691
195,baseline,640.0,109,0.0643
196,baseline,520.0,97,0.0595
197,baseline,520.0,97,0.0548
198,baseline,310.0,76,0.05
199,baseline,150.0,60,0.05
